665257.13,6829537.28
660811.32,6825948.41
658826.82,6821245.89
658009.58,6828373.94
656097.07,6823887.57
656355.01,6819555.13
660775.48,6827507.9
656234.58,6819308.88
658172.8,6827202.11
658305.7,6810986.57
658271.53,6810839.25
658198.51,6810840.46
658099.18,6810952.31
658033.65,6810908.75
657992.09,6810973.07
657826.84,6822208.14
657826,6822225
657789.43,6822192.72
657789.57,6822252.72
657788.23,6822269.17
657885.87,6822474.19
657884.85,6822488.44
658901.89,6829533.56
656730.77,6825849.58
658169.76,6827217.83
658415.52,6810810.06
655684.82,6826217.43
656705.79,6829426.95
652932.19,6827715.19
652969.79,6827713.96
658404.63,6810898.67
658941.43,6827547.81
657378.83,6828473.96
657296.27,6826783.23
655188.78,6828881.64
654892.03,6828946.48
658444.13,6810899.4
658567.03,6810815.63
657164.8,6826335.14
657072.64,6826478.03
652204.08,6823207.3
658799.95,6824170.73
658657.47,6810812.57
658630.81,6810894.95
658536.51,6815811.88
659939.13,6823924.46
655816.32,6826556.25
651589.04,6823164.74
658629.41,6810859.15
660811.32,6825948.41
658601.56,6810957.45
660714.8,6825950.39
660754.98,6825776.28
660754.98,6825776.28
657598.73,6824518.93
656909.81,6824183.5
656732.93,6824075.23
656741.27,6823899.36
656105.21,6823697.12
655987.53,6823769.37
655596.91,6824506.95
655461.64,6824499.52
655973.77,6824181.84
656096.93,6824315.96
652539.33,6823143.76
652547.59,6822984.14
650352.82,6824733.35
650721.62,6824736.52
663922.77,6826607.43
663893.51,6826541.22
661938.44,6827519.68
662041.2,6827666.38
662004.53,6827562.03
658783.5,6827565.78
658779.45,6815658.57
671194.67,6827113.21
670814.81,6827287.74
671123.62,6827175.55
651215.15,6823082.79
652892.99,6824298.93
658670.65,6822374.58
658687.53,6821884.38
658738,6821700.44
658709.52,6821302.73
658570.13,6821163.92
658624.5,6821332.06
658543.45,6821847.83
659612.83,6817843.96
659586.17,6817753.15
659683.37,6817212.42
659606.48,6817296.83
659662.1,6817360.6
659716.55,6817461.36
659600.97,6817585.69
652050.39,6823226.8
656601.17,6829341.19
658597.1,6810990.99
657397.39,6827359.14
660163.19,6827870.44
660163.19,6827870.44
659983.23,6827703.15
660724.61,6827102.28
660764,6827063.74
